=== VIRTUAL MEMORY PAGE REPLACEMENT SIMULATOR ===
OS_VME_08 - Group 5 - HCMUTRANS

Algorithm,FIFO
Frame Size,3
Total References,12
Total Faults,10
Total Hits,2
Hit Rate (%),16.67
Fault Rate (%),83.33
Exec Time (ms),0.097

Reference String,7,0,1,2,0,3,0,4,2,3,0,3

Step,Page,Fault/Hit,Evicted,Frame_1,Frame_2,Frame_3,Total_Faults,Total_Hits
1,7,FAULT,-,7,-,-,1,0
2,0,FAULT,-,7,0,-,2,0
3,1,FAULT,-,7,0,1,3,0
4,2,FAULT,7,2,0,1,4,0
5,0,HIT,-,2,0,1,4,1
6,3,FAULT,0,2,3,1,5,1
7,0,FAULT,1,2,3,0,6,1
8,4,FAULT,2,4,3,0,7,1
9,2,FAULT,3,4,2,0,8,1
10,3,FAULT,0,4,2,3,9,1
11,0,FAULT,4,0,2,3,10,1
12,3,HIT,-,0,2,3,10,2
