=== VIRTUAL MEMORY PAGE REPLACEMENT SIMULATOR ===
OS_VME_08 - Group 5 - HCMUTRANS

Algorithm,OPT
Frame Size,3
Total References,12
Total Faults,7
Total Hits,5
Hit Rate (%),41.67
Fault Rate (%),58.33
Exec Time (ms),0.110

Reference String,7,0,1,2,0,3,0,4,2,3,0,3

Step,Page,Fault/Hit,Evicted,Frame_1,Frame_2,Frame_3,Total_Faults,Total_Hits
1,7,FAULT,-,7,-,-,1,0
2,0,FAULT,-,7,0,-,2,0
3,1,FAULT,-,7,0,1,3,0
4,2,FAULT,7,2,0,1,4,0
5,0,HIT,-,2,0,1,4,1
6,3,FAULT,1,2,0,3,5,1
7,0,HIT,-,2,0,3,5,2
8,4,FAULT,0,2,4,3,6,2
9,2,HIT,-,2,4,3,6,3
10,3,HIT,-,2,4,3,6,4
11,0,FAULT,2,0,4,3,7,4
12,3,HIT,-,0,4,3,7,5
